[2018-09-09 00:12:38.231] Starting up round ID 2217.
[2018-09-09 00:12:38.231] -------------------------
[2018-09-09 01:03:30.403] ATTACK: ChippedIce/(Reed Whiteman) has stunned BuckyBoy/(Beau Richards) with [telescopic baton] (NEWHP: 100)  (Recreational Holodeck (144, 152, 2))
[2018-09-09 01:03:42.734] ATTACK: ChippedIce/(Reed Whiteman) has stunned BuckyBoy/(Beau Richards) with [telescopic baton] (NEWHP: 100)  (Recreational Holodeck (144, 154, 2))
[2018-09-09 01:03:57.206] ATTACK: ChippedIce/(Reed Whiteman) has stripped the scientist's jumpsuit off BuckyBoy/(Beau Richards) (NEWHP: 100)  (Recreational Holodeck (144, 154, 2))
[2018-09-09 01:04:12.758] ATTACK: ChippedIce/(Reed Whiteman) has stripped the scientist labcoat off BuckyBoy/(Beau Richards) (NEWHP: 100)  (Recreational Holodeck (144, 154, 2))
[2018-09-09 01:04:15.753] ATTACK: ChippedIce/(Reed Whiteman) has stunned BuckyBoy/(Beau Richards) with [telescopic baton] (NEWHP: 100)  (Recreational Holodeck (144, 154, 2))
[2018-09-09 01:04:30.304] ATTACK: ChippedIce/(Reed Whiteman) has grabbed BuckyBoy/(Beau Richards) passive grab (NEWHP: 100)  (Recreational Holodeck (144, 154, 2))
[2018-09-09 01:04:31.355] ATTACK: Jesslynbrooke/(Jess Jenkers) has slipped on the [floor] (Starboard Primary Hallway (169, 128, 2))
[2018-09-09 01:04:41.656] ATTACK: ChippedIce/(Reed Whiteman) has shaked BuckyBoy/(Beau Richards) (NEWHP: 100)  (Central Primary Hallway (96, 142, 2))
[2018-09-09 01:04:42.595] ATTACK: ChippedIce/(Reed Whiteman) has shaked BuckyBoy/(Beau Richards) (NEWHP: 100)  (Port Primary Hallway (87, 142, 2))
[2018-09-09 01:04:43.531] ATTACK: ChippedIce/(Reed Whiteman) has shaked BuckyBoy/(Beau Richards) (NEWHP: 100)  (Port Primary Hallway (78, 142, 2))
[2018-09-09 01:04:57.792] ATTACK: ChippedIce/(Reed Whiteman) has grabbed BuckyBoy/(Beau Richards) aggressive grab (NEWHP: 100)  (Primary Tool Storage (75, 147, 2))
