[2018-08-22 17:51:41.595] Starting up round ID 2043.
[2018-08-22 17:51:41.595] -------------------------
[2018-08-22 18:25:13.155] ATTACK: ChippedIce/(Hana Robusto) has stripped the scientist labcoat off Shamzie/(Lukash Russianman) (NEWHP: 31)  (Research Division (175, 115, 2))
[2018-08-22 18:25:13.505] ATTACK: ChippedIce/(Hana Robusto) has stripped the white shoes off Shamzie/(Lukash Russianman) (NEWHP: 31)  (Research Division (175, 115, 2))
[2018-08-22 18:25:13.956] ATTACK: ChippedIce/(Hana Robusto) has stripped the scientist's jumpsuit off Shamzie/(Lukash Russianman) (NEWHP: 31)  (Research Division (175, 115, 2))
[2018-08-22 18:25:14.871] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade] with [wrench] (Port Quarter Maintenance (96, 100, 2))
[2018-08-22 18:25:15.805] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade] with [wrench] (Port Quarter Maintenance (96, 100, 2))
[2018-08-22 18:25:16.784] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade] with [wrench] (Port Quarter Maintenance (96, 100, 2))
[2018-08-22 18:25:17.969] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade] with [wrench] (Port Quarter Maintenance (96, 100, 2))
[2018-08-22 18:25:18.783] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade] with [wrench] (Port Quarter Maintenance (96, 100, 2))
[2018-08-22 18:25:19.753] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade] with [wrench] (Port Quarter Maintenance (96, 100, 2))
[2018-08-22 18:25:22.528] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade] with [wrench] (Port Quarter Maintenance (96, 100, 2))
[2018-08-22 18:25:23.494] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade] with [wrench] (Port Quarter Maintenance (96, 100, 2))
[2018-08-22 18:25:24.445] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade] with [wrench] (Port Quarter Maintenance (96, 100, 2))
[2018-08-22 18:25:25.412] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade] with [wrench] (Port Quarter Maintenance (96, 100, 2))
[2018-08-22 18:25:26.214] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade] with [wrench] (Port Quarter Maintenance (96, 100, 2))
[2018-08-22 18:25:27.075] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade] with [wrench] (Port Quarter Maintenance (96, 100, 2))
[2018-08-22 18:25:28.056] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade] with [wrench] (Port Quarter Maintenance (96, 100, 2))
[2018-08-22 18:25:28.915] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade] with [wrench] (Port Quarter Maintenance (96, 100, 2))
[2018-08-22 18:25:29.763] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade] with [wrench] (Port Quarter Maintenance (96, 100, 2))
[2018-08-22 18:25:30.717] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade] with [wrench] (Port Quarter Maintenance (96, 100, 2))
[2018-08-22 18:25:31.549] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade] with [wrench] (Port Quarter Maintenance (96, 100, 2))
[2018-08-22 18:25:32.354] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade] with [wrench] (Port Quarter Maintenance (96, 100, 2))
[2018-08-22 18:25:33.238] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade] with [wrench] (Port Quarter Maintenance (96, 100, 2))
[2018-08-22 18:25:34.111] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade] with [wrench] (Port Quarter Maintenance (96, 100, 2))
[2018-08-22 18:25:40.609] ATTACK: Shamzie/(Lukash Russianman) has slipped on the [floor] (Dormitory Toilets (130, 149, 2))
[2018-08-22 18:25:43.873] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade (CLOSED)] with [wrench] (Port Quarter Maintenance (81, 99, 2))
[2018-08-22 18:25:44.829] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade (CLOSED)] with [wrench] (Port Quarter Maintenance (81, 99, 2))
[2018-08-22 18:25:45.749] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade (CLOSED)] with [wrench] (Port Quarter Maintenance (81, 99, 2))
[2018-08-22 18:25:46.553] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade (CLOSED)] with [wrench] (Port Quarter Maintenance (81, 99, 2))
[2018-08-22 18:25:47.431] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade (CLOSED)] with [wrench] (Port Quarter Maintenance (81, 99, 2))
[2018-08-22 18:25:48.196] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade (CLOSED)] with [wrench] (Port Quarter Maintenance (81, 99, 2))
