[2018-08-26 05:56:41.911] Starting up round ID 2084.
[2018-08-26 05:56:41.911] -------------------------
[2018-08-26 06:17:20.706] ATTACK: BRhunter45/(Adolph Mills) has attacked [window] with [fire axe] (Medbay Treatment Center (134, 112, 2))
[2018-08-26 06:17:21.511] ATTACK: BRhunter45/(Adolph Mills) has attacked [window] with [fire axe] (Medbay Treatment Center (134, 112, 2))
[2018-08-26 06:17:22.503] ATTACK: BRhunter45/(Adolph Mills) has attacked [window] with [fire axe] (Medbay Treatment Center (134, 112, 2))
[2018-08-26 06:17:23.326] ATTACK: BRhunter45/(Adolph Mills) has attacked [window] with [fire axe] (Medbay Treatment Center (134, 112, 2))
[2018-08-26 06:17:24.102] ATTACK: BRhunter45/(Adolph Mills) has attacked [window] with [fire axe] (Medbay Treatment Center (134, 112, 2))
[2018-08-26 06:17:24.926] ATTACK: BRhunter45/(Adolph Mills) has attacked [window] with [fire axe] (Medbay Treatment Center (134, 112, 2))
[2018-08-26 06:17:25.925] ATTACK: BRhunter45/(Adolph Mills) has attacked [window] with [fire axe] (Medbay Treatment Center (134, 112, 2))
[2018-08-26 06:17:26.705] ATTACK: BRhunter45/(Adolph Mills) has attacked [window] with [fire axe] (Medbay Treatment Center (134, 112, 2))
[2018-08-26 06:17:28.527] ATTACK: BRhunter45/(Adolph Mills) has attacked [grille] with [fire axe] (Medbay Treatment Center (134, 112, 2))
[2018-08-26 06:17:29.432] ATTACK: BRhunter45/(Adolph Mills) has attacked [grille] with [fire axe] (Medbay Treatment Center (134, 112, 2))
[2018-08-26 06:17:30.254] ATTACK: BRhunter45/(Adolph Mills) has attacked [grille] with [fire axe] (Medbay Treatment Center (134, 112, 2))
[2018-08-26 06:17:31.165] ATTACK: BRhunter45/(Adolph Mills) has attacked [grille] with [fire axe] (Medbay Treatment Center (134, 112, 2))
